id,area,feature,user_story,expected_behaviour,status,phase2_result,phase3_fix,phase4_retest
S-01,search CLI,Capability search (table),"As a developer, I run `starlog search ""<capability>""` to see ranked candidate packages.","Prints a table (#, Library, Category, Score, Solves) of up to 5 results ranked by the local keyword ranker with MMR diversity (lambda 0.5); scores are absolute; exit 0.",NOT-TESTED,,,
S-02,search CLI,Search JSON output,"As a tool builder, I run `starlog search <q> --format json` to get machine-readable results.","Prints a pretty-printed JSON array of QueryResult objects (manifest, relevance_score, vs_custom, context_fit, tradeoffs) on stdout; nothing else on stdout; exit 0.",NOT-TESTED,,,
S-03,search CLI,Invalid --format rejected,"As a user, I mistype `--format xml` and expect a clear error.","Prints `Invalid format: xml. Use ""json"" or ""table"".` and exits 1.",NOT-TESTED,,,
S-04,search CLI,Unknown category warns but searches,"As a user, I pass `--category doesnotexist` and still want results.","Warns `Note: ""...""  is not a known category (...)` listing known categories, then searches the whole corpus anyway; exit 0.",NOT-TESTED,,,
S-05,search CLI,Known category filter,"As a user, I filter with `--category caching` to only see caching libraries.","Only manifests whose category exactly matches are returned.",NOT-TESTED,,,
S-06,search CLI,Stack filter is exact-match,"As a user, I filter `--stack react` and must not get react-native-only libraries.","stack_affinity is matched case-insensitively but exactly (no substring); non-matching manifests are excluded.",NOT-TESTED,,,
S-07,search CLI,--top-k limits results,"As a user, I pass `--top-k 2` to cap the result count.","At most 2 results print; a non-numeric value falls back to the default 5.",NOT-TESTED,,,
S-08,search CLI,Honest no-match,"As a user with an out-of-corpus query, I want an honest miss, not a forced answer.","stderr explains no strong match + lists covered categories + points at `starlog facts` / `corpus add`; exit 0. With `--format json`, stdout still gets `[]` so jq pipelines parse.",NOT-TESTED,,,
S-09,search CLI,Lone low-score hit flagged,"As a user whose query matched a stray keyword, I should see it's low confidence.","When exactly 1 result scores < 70 (table mode), stderr prints 'No strong match ... Closest by keyword:' before the table.",NOT-TESTED,,,
S-10,search CLI,--diversity lambda,"As a power user, I pass `--diversity 1` for pure relevance order.","lambda >= 1.0 disables MMR (pure score-descending); lower values trade relevance for diversity; displayed scores always monotonic descending.",NOT-TESTED,,,
S-11,search CLI,--context DIY-vs-buy analysis,"As a user, I pass `--context` to get a per-library vs-custom rationale.","With an LLM available (ANTHROPIC_API_KEY) top results gain vs_custom/tradeoffs; without a key search still works and fields stay empty (never crashes).",NOT-TESTED,,,
S-12,search CLI,Private corpus surfaces first,"As an org developer, my internal package (STARLOG_PRIVATE_CORPUS) should surface first for a matching capability.","Relevant (score>=70) private manifests are floated ahead of public results; off-topic private manifests are not floated; private wins on id collision.",NOT-TESTED,,,
S-13,search CLI,Hosted tier degrades to local,"As a keyed user with a broken network, search must still work.","With STARLOG_API_KEY set and the API unreachable, stderr notes the fallback and results come from the bundled corpus; keyless users never touch the network.",NOT-TESTED,,,
F-01,facts CLI,Facts lookup hit,"As a developer, I run `starlog facts ua-parser-js` to vet a package before using it.","Prints layered markdown: header, effect surface, capabilities, maintenance, license (risk), known vulns/incidents, transitive risk, source, and a dated 'Verified: as of' line; exit 0.",NOT-TESTED,,,
F-02,facts CLI,Honest miss,"As a developer, I look up a package with no record and want an honest answer.","Prints 'No facts on file for ...' with guidance (npm audit/OSV, `starlog facts add` for internal packages); exit 0 (a miss is not an error).",NOT-TESTED,,,
F-03,facts CLI,Facts JSON output,"As a tool builder, I run `starlog facts <pkg> --format json` for the raw layers.","Prints a JSON object with independent l1/l2/l3 layers (or `null` on a miss); exit 0.",NOT-TESTED,,,
F-04,facts CLI,Invalid --format rejected,"As a user, I mistype the format flag.","Prints `Invalid format: ... Use ""json"" or ""table"".`; exit 1.",NOT-TESTED,,,
F-05,facts CLI,Exact-only name resolution,"As a user, `starlog facts express-rate-limit` must never return facts about `express`.","Resolution is exact (lowercase+trim only); near-miss names return the honest 'No facts on file' message, never another package's facts.",NOT-TESTED,,,
F-06,facts CLI,Private facts overlay,"As an org developer, facts for my internal package come from STARLOG_PRIVATE_FACTS.","A valid `{l1,l2}` file adds/overrides facts per layer (private wins); the composed view renders like any public fact.",NOT-TESTED,,,
F-07,facts CLI,Org policy verdict renders,"As an org developer, a package with an L3 rule shows the org verdict.","With STARLOG_POLICY set, `**Org policy:** ALLOW/DENY/FLAG — rationale (rule id)` renders at the top of the fact view.",NOT-TESTED,,,
F-08,facts CLI,Policy-only verdict surfaces,"As an org admin, a ban on a package with no facts record must still surface.","A package matched only by a policy rule (no L1/L2) still composes a view showing the verdict instead of silently no-opping.",NOT-TESTED,,,
F-09,facts CLI,Corrupt private file degrades,"As a user with a malformed private-facts file, facts must still serve public data.","stderr warns 'private facts file unreadable ... using public facts only'; lookup proceeds with public layers; never throws.",NOT-TESTED,,,
A-01,authoring,facts add writes overlay,"As an org developer, `starlog facts add @acme/pkg --status active --license MIT` makes it vet clean.","Writes/creates .starlog/private-facts.json with a schema-valid L2 overlay (source 'hand', fetched_at today); prints the path + guidance on how the agent reads it; exit 0.",NOT-TESTED,,,
A-02,authoring,facts add upserts,"As a user, re-running facts add for the same package updates it without duplicating.","Same-package l2 entry replaced; other l2 entries and any l1 array preserved.",NOT-TESTED,,,
A-03,authoring,facts add validates enums,"As a user, a bad `--status` or `--license-risk` should fail loudly with the valid options.","stderr `starlog: facts add failed: Invalid --status ... use one of: active, maintenance-only, deprecated, abandoned, compromised`; exit 1; nothing written.",NOT-TESTED,,,
